,string,start_ms,end_ms,latency_ms
310,u,1065.8028,1066.1428,0.3400000000001455
311, ,1066.1716,1066.4744,0.30280000000016116
312,b,1066.5028,1066.7964,0.29359999999996944
313,u,1066.8259,1067.1612,0.3352999999999611
314,t,1067.1903,1067.4881,0.297800000000052
315, ,1067.5164,1067.8858,0.3694000000000415
316,A,1067.9144,1068.2166,0.3022000000000844
317, ,1068.2449,1068.5713,0.3264000000001488
318,d,1068.6005,1068.8985,0.2980000000000018
319,a,1068.9273,1069.2439,0.3165999999998803
320,g,1069.2807,1069.6681,0.3874000000000706
321,g,1069.7034,1070.0872,0.3837999999998374
322,e,1070.1343,1070.5658,0.4315000000001419
323,r,1070.607,1070.9775,0.3704999999999927
324, ,1071.0105,1071.3767,0.36619999999993524
325,o,1071.4105,1071.8066,0.39609999999993306
326,f,1071.8428,1072.2208,0.37800000000015643
327, ,1072.2548,1072.6301,0.37530000000015207
328,t,1072.6642,1073.0304,0.3662000000001626
329,h,1073.077,1073.6266,0.5496000000000549
330,e,1073.6693,1074.213,0.5436999999999443
331, ,1074.2496,1074.6835,0.4338999999999942
332,m,1074.7655,1075.3466,0.5811000000001059
333,i,1075.3855,1075.757,0.3714999999999691
334,n,1075.7881,1076.1128,0.3247000000001208
335,d,1076.145,1076.4605,0.31549999999992906
336,",",1076.4933,1076.8141,0.3207999999999629
337, ,1076.8434,1077.1805,0.337099999999964
338,a,1077.2106,1077.5697,0.3590999999998985
339, ,1077.6046,1077.9722,0.36760000000003856
340,f,1078.0038,1078.3222,0.3184000000001106
341,a,1078.3594,1078.6891,0.32970000000000255
342,l,1078.7228,1079.0813,0.3585000000000491
343,s,1079.1125,1079.4207,0.3081999999999425
344,e,1079.4501,1079.7551,0.30500000000006366
345, ,1079.7843,1080.1052,0.3208999999999378
346,c,1080.1441,1080.4581,0.3140000000000782
347,r,1080.4873,1080.8215,0.3342000000000098
348,e,1080.8504,1081.1543,0.30389999999988504
349,a,1081.1829,1081.4918,0.3088999999999942
350,t,1081.5342,1081.8469,0.3126999999999498
351,i,1081.8754,1082.1736,0.298200000000179
352,o,1082.2021,1082.5134,0.31130000000007385
353,n,1082.5452,1082.8575,0.3123000000000502
354, ,1082.8864,1083.1883,0.30189999999993233
355,P,1083.2202,1083.5302,0.30999999999994543
356,r,1083.5653,1083.8954,0.3301000000001295
357,o,1083.9241,1084.2302,0.3061000000000149
358,c,1084.2597,1084.5919,0.33219999999982974
359,e,1084.6205,1084.9217,0.30120000000010805
360,e,1084.9509,1085.3021,0.3512000000000626
361,d,1085.333,1085.7366,0.4035999999998694
362,i,1085.7723,1086.1737,0.4013999999999669
363,n,1086.2284,1086.6214,0.3930000000000291
364,g,1086.6792,1087.0322,0.3530000000000655
365, ,1087.0683,1087.4468,0.3785000000000309
366,f,1087.479,1087.8408,0.36179999999990287
367,r,1087.8707,1088.1942,0.32349999999996726
368,o,1088.2232,1088.5283,0.30510000000003856
369,m,1088.5581,1088.9221,0.36400000000003274
370, ,1088.9529,1089.271,0.3180999999999585
371,t,1089.2998,1089.6247,0.3249000000000706
372,h,1089.6564,1089.9641,0.30769999999984066
373,e,1089.9924,1090.3221,0.32970000000000255
374, ,1090.3504,1090.6453,0.2948999999998705
375,h,1090.6774,1091.0011,0.32369999999991705
376,e,1091.0294,1091.3332,0.3038000000001375
377,a,1091.3615,1091.6596,0.2980999999999767
378,t,1091.6877,1092.012,0.3242999999999938
379,-,1092.0408,1092.34,0.29919999999992797
380,o,1092.3683,1092.6838,0.31549999999992906
381,p,1092.7118,1093.0182,0.3063999999999396
