,string,start_ms,end_ms,latency_ms
242,with,48637.1751,48804.9699,167.79479999999603
243,it.,48805.0706,48983.9289,178.85829999999987
244,Whiles,48984.0202,49161.3018,177.28160000000207
245,I,49161.37,49329.0293,167.65929999999935
246,"threat,",49329.0964,49502.6352,173.5387999999948
247,he,49502.7161,49673.5935,170.87740000000485
248,lives.,49673.6647,49844.5249,170.86019999999553
249,Words,49844.5802,50038.4776,193.89740000000165
250,to,50038.5542,50231.7792,193.22499999999854
251,the,50231.8462,50401.4855,169.63930000000255
252,heat,50401.5527,50568.6997,167.1469999999972
253,of,50568.7683,50792.1493,223.38099999999395
254,deeds,50792.1869,50962.1304,169.94350000000122
255,too,50962.2436,51132.4564,170.21280000000115
256,cold,51132.6215,51309.57,176.9484999999986
257,breath,51309.6743,51479.7927,170.11839999999938
258,gives.,51479.8837,51652.2918,172.40810000000056
259,A,51652.4326,51829.0857,176.65310000000318
260,bell,51829.1728,51997.285,168.1122000000032
261,rings.,51997.3762,52531.0654,533.6892000000007
262,I,52531.147,52703.9488,172.8018000000011
263,"go,",52704.0884,52874.6768,170.58840000000055
264,and,52874.7509,53053.0955,178.344600000004
265,it,53053.1707,53220.8328,167.6620999999941
266,is,53220.9083,53388.6693,167.7609999999986
267,done.,53388.7432,53558.7796,170.0364000000045
268,The,53558.8198,53730.287,171.46719999999914
269,bell,53730.3528,53899.4767,169.12389999999868
270,invites,53899.5158,54093.824,194.3081999999995
271,me.,54093.8635,54261.2584,167.39489999999932
272,Hear,54261.3246,54435.7941,174.46949999999924
273,it,54435.88,54609.7907,173.91070000000036
274,"not,",54609.858,54781.3567,171.49869999999646
275,"Duncan,",54781.4953,54960.9239,179.42859999999928
276,for,54961.0638,55140.8598,179.79599999999482
277,it,55140.9995,55319.7695,178.77000000000407
278,is,55319.9135,55494.0923,174.17879999999423
279,a,55494.2936,55673.0271,178.7335000000021
280,knell,55673.1479,55844.8879,171.73999999999796
281,That,55845.0366,56017.3986,172.362000000001
282,summons,56017.5279,56195.3404,177.8125
283,thee,56195.4261,56369.0848,173.65869999999995
284,to,56369.1761,56537.256,168.07990000000427
285,heaven,56537.3412,56711.8335,174.49229999999807
286,or,56711.8839,56879.9862,168.10229999999865
287,to,56880.0522,57067.9834,187.93119999999908
288,hell.,57068.1335,57244.2834,176.1498999999967
